wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
5,6,0,15,18,4,0,15,1,0.916666667,64,0,0,0.884615385,0.666666667,2,3,11.2,1,0.6,0
5,6,0,16,19,4,4,12,1,0.916666667,89,0,0,0.884615385,0.666666667,2,3,16.2,1,0.6,0
2,3,0,15,21,1,1,14,2,2,102,0,0,0.875,0.625,1,1,50,6,3,0
4,6,0,9,13,4,0,9,1,1,43,0,0,0.92,0.555555556,2,2,9,1,0.5,0
2,3,0,15,14,1,1,14,2,2,83,0,0,0.875,0.625,1,1,40.5,1,0.5,0
4,2,0,30,66,4,0,30,2,0.820512821,680,0.230769231,0,0.894736842,0.555555556,0,0,165.75,11,3,0
2,3,0,3,5,1,0,3,2,2,11,0,0,0.961538462,0.666666667,2,2,4.5,1,0.5,0
3,3,0,22,18,3,1,21,2,1,71,0,0,0.777777778,0.444444444,1,1,22.33333333,1,0.6667,0
4,4,0,20,38,4,1,19,3,1,192,0,0,0.978723404,0.555555556,3,11,46.25,1,0.5,0
2,3,0,24,31,1,1,23,2,1,133,0,0,0.875,0.625,1,1,64.5,6,3,0
2,3,0,14,22,1,2,12,2,2,120,0,0,0.875,0.625,1,1,59,12,6,0
3,4,0,45,71,3,6,39,2,1.25,599,0.75,0,0.894736842,0.444444444,1,2,197.3333333,1,0.6667,0
2,3,0,24,24,1,1,23,2,1,128,0,0,0.875,0.625,1,1,62.5,1,0.5,0
2,2,0,19,18,1,1,18,2,2,78,0,0,0.8,0.666666667,0,0,38,1,0.5,0
2,3,0,20,15,1,1,19,2,2,68,0,0,0.875,0.625,1,1,33,1,0.5,0
2,1,0,31,33,1,0,31,0,1,156,1,0,0,1,0,0,62,0,0,0
5,6,0,14,17,4,1,13,1,0.916666667,60,0,0,0.884615385,0.666666667,2,3,10.4,1,0.6,0
2,3,0,7,11,1,1,6,2,2,42,0,0,0.875,0.625,1,1,20,3,1.5,0
5,4,0,15,18,8,3,12,4,1,70,0,0,0.94,0.5,3,6,12.4,1,0.6,0
2,3,0,12,9,1,4,8,2,2,26,0,0,0.875,0.666666667,1,1,12,3,1.5,0
2,3,0,19,18,1,1,18,2,2,70,0,0,0.875,0.6,1,1,34,1,0.5,0
5,6,0,16,17,4,2,14,1,0.916666667,61,0,0,0.888888889,0.666666667,2,3,10.6,1,0.6,0
5,5,0,18,22,4,1,17,1,0.916666667,81,0,0,0.88,0.666666667,2,3,14.6,1,0.6,0
2,3,0,4,9,1,0,4,2,1,45,0,0,0.8,0.625,2,3,21,2,1,0
2,3,0,9,8,1,1,8,2,2,30,0,0,0.857142857,0.666666667,1,1,14,2,1,0
2,3,0,4,9,1,0,4,2,1,45,0,0,0.8,0.625,2,3,21,2,1,0
5,4,0,11,11,10,1,10,1,2,35,0,0,0.885714286,0.7,1,2,6,2,1,0
2,1,0,46,48,1,0,46,0,1,231,1,0,0,1,0,0,92,0,0,0
5,6,0,13,16,4,1,12,1,0.916666667,64,0,0,0.884615385,0.666666667,2,3,11.2,4,1.2,0
2,3,0,16,20,1,4,12,2,2,81,0,0,0.875,0.625,2,2,39.5,1,0.5,0
4,6,0,10,13,4,1,9,1,1,43,0,0,0.92,0.555555556,2,2,9,1,0.5,0
5,6,0,29,51,4,4,25,4,0.916666667,241,0,0,0.946428571,0.666666667,5,9,46.6,1,0.6,0
2,3,0,6,7,1,1,5,2,2,25,1,0,0.857142857,0.666666667,1,1,11,2,1,0
2,3,0,19,20,1,1,18,2,2,90,0,0,0.875,0.625,1,1,44,1,0.5,0
15,1,0,33,94,103,0,33,4,0.952380952,861,0,0,0,0.26,0,0,56,10,4.2667,1
10,3,0,21,57,41,3,18,3,1.068376068,671,0.923076923,0,0.466666667,0.377777778,2,2,64.8,17,4.7,0
2,3,0,19,22,1,2,17,2,2,80,0,0,0.875,0.625,1,1,39,1,0.5,0
2,3,0,8,17,1,1,7,2,1,74,0,0,0.857142857,0.666666667,2,2,35.5,5,2.5,0
2,1,0,15,17,1,0,15,0,1,76,1,0,0,1,0,0,30,0,0,0
2,3,0,20,15,1,1,19,2,1,83,0,0,0.875,0.625,1,1,40,1,0.5,0
3,3,0,13,12,3,3,10,2,1.5,53,1,0,0.777777778,0.466666667,1,1,16.33333333,3,1.3333,0
6,6,0,23,19,3,10,13,1,0.866666667,72,0,0,0.857142857,0.733333333,2,3,10.5,1,0.6667,0
2,3,0,19,15,1,2,17,2,2,78,0,0,0.875,0.625,1,1,38,9,4.5,0
2,3,0,17,24,1,1,16,2,2,106,0,0,0.875,0.6,1,1,52,1,0.5,1
5,4,0,9,14,8,1,8,1,1,48,0,0,0.869565217,0.5,2,4,8,1,0.6,0
2,1,0,3,4,1,0,3,2,2,12,0,0,0,0.75,0,0,5,1,0.5,1
2,3,0,25,14,1,4,21,2,2,55,0,0,0.875,0.625,1,1,26.5,3,1.5,0
4,4,0,16,23,4,1,15,3,1,104,0,0,0.978723404,0.555555556,3,8,24.25,1,0.5,0
3,3,0,24,27,3,3,21,2,1,154,0,0,0.777777778,0.444444444,1,1,50,3,1.3333,0
5,7,0,15,18,4,0,15,1,0.916666667,68,0,0,0.888888889,0.666666667,2,3,12,1,0.6,0
5,7,0,15,18,4,1,14,1,0.916666667,79,0,0,0.892857143,0.666666667,2,3,14.2,1,0.6,0
2,3,0,19,18,1,1,18,2,2,83,0,0,0.875,0.625,1,1,40.5,1,0.5,0
2,1,0,3,5,1,0,3,0,1,16,1,0,0,1,0,0,6,0,0,0
5,6,0,22,26,4,1,21,1,0.916666667,128,0,0,0.884615385,0.666666667,2,3,24,1,0.6,0
2,3,0,27,36,1,1,26,2,1,161,0,0,0.875,0.6,1,1,79,1,0.5,0
2,3,0,12,13,1,0,12,2,2,62,0,0,0.875,0.583333333,1,1,30,1,0.5,0
28,1,0,120,157,370,78,45,18,1.003367003,1442,0.090909091,0,0,0.102396514,0,0,50.10714286,21,3.8214,1
2,1,0,12,14,1,0,12,0,1,61,1,0,0,1,0,0,24,0,0,0
2,3,2,12,8,1,2,10,2,2,46,0,0,0.875,0.625,1,1,22,4,2,0
6,5,0,17,21,9,1,16,1,0.933333333,75,0,0,0.846153846,0.6,2,7,11,2,0.8333,0
2,1,0,107,109,1,0,107,0,1,536,1,0,0,1,0,0,214,0,0,0
2,3,0,36,55,1,4,32,2,2,263,1,0,0.875,0.625,2,2,129.5,1,0.5,0
2,4,0,19,19,1,1,18,2,2,65,0,0,0.944444444,0.625,1,2,31.5,1,0.5,0
2,3,0,13,19,1,1,12,2,2,149,0,0,0.875,0.666666667,1,1,73.5,19,9.5,0
5,4,0,27,40,8,1,26,3,1,233,0,0,0.968421053,0.375,3,10,44.6,1,0.6,0
7,6,0,29,30,9,3,26,2,0.888888889,128,0,0,0.827586207,0.722222222,2,3,16.85714286,1,0.7143,0
3,3,0,8,14,1,0,8,2,0.75,46,0.5,0,0.947368421,0.666666667,0,0,13.66666667,2,0.6667,0
4,2,2,11,17,6,3,8,2,2,149,0,0,0.888888889,0.583333333,1,4,36.25,11,3.25,0
2,3,0,17,20,1,8,9,2,2,91,0,0,0.875,0.666666667,1,1,44.5,7,3.5,0
2,3,0,15,17,1,1,14,2,2,61,0,0,0.875,0.666666667,1,1,29.5,5,2.5,0
2,3,0,10,11,1,0,10,2,2,35,0,0,0.875,0.666666667,1,1,16.5,3,1.5,0
5,4,0,16,58,8,3,13,3,1,258,0,0,0.968421053,0.4375,3,9,50,1,0.6,0
4,4,0,10,18,4,1,9,3,1,87,0,0,0.978723404,0.555555556,3,9,20,1,0.5,0
6,4,0,26,36,15,2,24,1,1,151,0,0,0.857142857,0.404761905,1,3,23.66666667,5,1.5,1
4,4,0,24,46,4,1,23,3,1,226,0,0,0.966666667,0.555555556,3,5,54.75,1,0.5,0
5,5,0,14,19,4,1,13,1,0.916666667,70,0,0,0.88,0.666666667,2,3,12.4,1,0.6,0
4,5,0,2,9,6,0,2,2,1.111111111,32,0,0,0.970149254,1,4,7,6.25,1,0.5,0
2,3,0,1,3,1,0,1,1,2,7,0,0,0.96,1,1,1,2.5,1,0.5,0
4,2,0,5,5,6,1,4,3,2,27,0,0,0.842105263,0.583333333,0,0,5.75,1,0.75,0
5,7,0,24,24,4,1,23,1,0.916666667,89,0,0,0.892857143,0.666666667,2,3,16.2,1,0.6,0
6,4,0,13,34,3,4,9,5,0.866666667,218,0,0,0.941176471,0.733333333,3,5,34.83333333,1,0.6667,0
4,4,0,14,24,4,1,13,3,1,111,0,0,0.978723404,0.555555556,3,9,26,1,0.5,0
2,3,0,16,11,1,2,14,2,2,46,0,0,0.875,0.625,1,1,22,6,3,0
6,4,0,24,39,5,2,22,5,0.933333333,239,0,0,0.958333333,0.733333333,3,9,38.33333333,1,0.6667,0
4,1,0,25,53,0,0,25,3,0.857142857,298,0.285714286,0,0,0.777777778,0,0,71.75,8,2.75,0
5,5,0,14,16,4,1,13,1,0.916666667,64,0,0,0.88,0.666666667,2,3,11.2,1,0.6,0
2,3,0,15,10,1,1,14,2,2,54,0,0,0.875,0.625,1,1,26,1,0.5,0
119,1,0,19,120,7015,1,18,119,0.991525424,363,1,0,0,0.06684492,0,0,2.025210084,1,0.9916,0
6,6,0,14,19,3,1,13,1,0.866666667,77,0,0,0.851851852,0.733333333,2,3,11.33333333,1,0.6667,0
5,6,0,13,18,4,2,11,1,0.95,73,0.4,0,0.884615385,0.666666667,2,3,12.6,1,0.6,0
5,7,0,10,14,4,1,9,1,0.916666667,52,0,0,0.892857143,0.666666667,2,3,8.8,1,0.6,0
4,4,0,9,11,6,1,8,1,1.333333333,33,1,0,0.90625,0.4375,2,2,7,1,0.75,0
2,3,0,5,10,1,0,5,2,2,38,0,0,0.875,0.666666667,1,1,18,3,1.5,0
5,6,0,13,16,4,1,12,1,0.916666667,60,0,0,0.884615385,0.666666667,2,3,10.4,1,0.6,0
2,1,0,18,20,1,0,18,0,1,91,1,0,0,1,0,0,36,0,0,0
2,3,0,14,14,1,1,13,2,2,54,0,0,0.875,0.625,1,1,26,2,1,0
2,3,0,17,16,1,4,13,2,2,54,0,0,0.875,0.625,1,1,26,3,1.5,0
4,4,0,11,19,4,1,10,3,1,90,0,0,0.978723404,0.555555556,3,9,20.75,1,0.5,0
6,6,0,22,19,3,9,13,1,0.866666667,72,0,0,0.857142857,0.733333333,2,3,10.5,1,0.6667,0
5,4,0,10,14,8,1,9,1,1,46,0,0,0.869565217,0.5,2,4,7.6,1,0.6,0
5,4,0,19,46,4,2,17,4,0.916666667,268,0,0,0.968421053,0.666666667,3,10,52,1,0.6,0
5,4,0,32,59,4,2,30,4,0.9375,382,0,0,0.9375,0.583333333,3,4,74.6,1,0.6,0
2,3,0,8,6,1,1,7,2,2,26,0,0,0.875,0.625,1,1,12,2,1,0
5,4,0,22,34,4,2,20,4,0.916666667,187,0,0,0.955223881,0.666666667,3,6,35.8,1,0.6,0
5,8,0,23,24,4,2,21,1,0.916666667,90,0,0,0.896551724,0.666666667,2,3,16.4,1,0.6,0
2,3,0,25,16,1,3,22,2,2,60,0,0,0.875,0.625,1,1,29,3,1.5,0
4,6,0,10,13,4,1,9,1,1,43,0,0,0.92,0.555555556,2,2,9,1,0.5,0
5,6,0,19,20,4,1,18,1,0.916666667,75,0,0,0.884615385,0.666666667,2,3,13.4,1,0.6,0
4,2,546,555,10,6,546,9,3,1,37,0,0,0.666666667,0.666666667,0,0,7.75,1,0.5,0
4,5,0,11,16,4,2,9,3,1,60,0,0,0.960784314,0.555555556,4,8,13.25,1,0.5,0
7,2,0,16,46,19,1,15,2,0.833333333,565,1,0,0.761904762,0.291666667,1,3,79.57142857,24,4.8571,0
2,3,0,16,20,1,2,14,2,2,85,0,0,0.875,0.625,1,1,41.5,6,3,0
2,3,0,42,29,1,4,38,2,1,204,0,0,0.875,0.625,1,1,100.5,8,4,0
5,7,0,15,18,4,1,14,1,0.916666667,75,0,0,0.892857143,0.666666667,2,3,13.4,1,0.6,0
5,4,0,15,24,8,5,10,4,1,107,0,0,0.968421053,0.666666667,3,13,19.8,1,0.6,0
2,3,0,16,13,1,4,12,2,2,85,0,0,0.875,0.583333333,1,1,41.5,1,0.5,0
2,3,0,6,7,1,0,6,2,2,16,0,0,0.961538462,0.666666667,2,4,7,1,0.5,0
6,1,0,60,14,0,60,0,6,0.4,78,1,0,0,0.611111111,0,0,11.66666667,2,1.1667,0
2,1,0,13,15,1,0,13,0,1,66,1,0,0,1,0,0,26,0,0,0
4,6,0,10,13,4,1,9,1,1,43,0,0,0.92,0.555555556,2,2,9,1,0.5,0
3,3,0,15,26,1,1,14,2,0.5,174,1,0,0.875,0.625,1,1,56.66666667,1,0.3333,0
2,1,0,4,13,1,0,4,2,2,88,0,0,0,0.75,0,0,43,3,1.5,0
2,3,0,19,15,1,2,17,2,2,62,0,0,0.875,0.625,1,1,30,1,0.5,0
0,1,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0
2,3,0,15,11,1,2,13,2,2,64,0,0,0.875,0.625,1,1,31,5,2.5,0
2,3,0,5,4,1,1,4,2,2,12,0,0,0.857142857,0.666666667,1,1,5,1,0.5,0
4,4,0,25,40,4,1,24,3,1,162,0,0,0.966666667,0.555555556,3,5,38.75,1,0.5,0
4,6,0,10,13,4,1,9,1,1,43,0,0,0.92,0.555555556,2,2,9,1,0.5,0
0,1,0,1,0,0,1,0,0,2,9,0,0,0,0,0,0,0,0,0,0
2,3,0,13,23,1,1,12,2,1,100,0,0,0.96,0.666666667,0,0,48,6,3,0
3,3,0,6,16,1,0,6,2,0.75,99,0.5,0,0.941176471,0.666666667,0,0,31.33333333,4,1.3333,0
2,3,0,21,22,1,6,15,2,2,85,0,0,0.875,0.625,2,2,41.5,7,3.5,0
2,1,0,2,4,1,0,2,0,1,11,1,0,0,1,0,0,4,0,0,0
5,8,0,17,19,4,1,16,1,0.916666667,86,0,0,0.896551724,0.666666667,2,3,15.6,1,0.6,0
5,7,0,14,18,4,2,12,1,0.916666667,65,0,0,0.888888889,0.666666667,2,3,11.4,1,0.6,0
2,1,0,5,7,1,0,5,0,1,26,1,0,0,1,0,0,10,0,0,0
4,6,0,10,13,4,1,9,1,1,43,0,0,0.92,0.555555556,2,2,9,1,0.5,0
4,4,0,28,36,4,1,27,3,1,184,0,0,0.966666667,0.555555556,3,7,44.25,1,0.5,0
2,3,0,19,11,1,3,16,2,2,51,0,0,0.875,0.625,1,1,24.5,3,1.5,0
6,5,0,16,18,9,1,15,2,0.933333333,69,0,0,0.846153846,0.44,2,4,10,1,0.6667,0
2,3,0,15,18,1,1,14,2,1,59,0,0,0.875,0.625,1,1,28,1,0.5,0
2,3,0,15,12,1,4,11,2,2,58,0,0,0.875,0.583333333,1,1,28,1,0.5,0
6,6,0,21,22,3,4,17,1,0.866666667,85,0,0,0.857142857,0.733333333,2,3,12.66666667,1,0.6667,0
4,4,0,10,26,6,0,10,2,0.666666667,132,0,0,0.925,0.666666667,0,0,31.75,2,1.25,0
2,4,0,31,24,1,2,29,2,2,163,0,0,0.944444444,0.625,1,2,80.5,1,0.5,0
2,1,0,16,18,1,0,16,0,1,81,1,0,0,1,0,0,32,0,0,0
2,1,0,24,26,1,0,24,0,1,121,1,0,0,1,0,0,48,0,0,0
5,4,0,8,13,10,1,7,1,2,45,0,0,0.878787879,0.55,2,3,8,1,0.8,0
2,3,0,14,10,1,3,11,2,2,44,0,0,0.875,0.625,1,1,20.5,2,1,0
2,3,0,25,35,1,2,23,2,1,158,0,0,0.875,0.6,2,2,77.5,12,6,0
2,3,0,18,17,1,2,16,2,2,62,0,0,0.875,0.625,1,1,30,1,0.5,0
4,7,0,10,13,4,2,8,1,1,43,0,0,0.923076923,0.555555556,2,2,9,1,0.5,0
2,4,0,61,26,1,30,31,2,2,261,0,0,0.944444444,0.625,2,2,129.5,1,0.5,0
4,6,0,10,13,4,1,9,1,1,43,0,0,0.92,0.555555556,2,2,9,1,0.5,0
4,4,0,14,27,4,1,13,3,1,113,0,0,0.978723404,0.555555556,3,11,26.5,1,0.5,0
5,8,0,15,17,4,2,13,1,0.916666667,58,0,0,0.896551724,0.666666667,2,3,10,1,0.6,0
2,3,0,22,14,1,1,21,2,2,49,0,0,0.875,0.6,1,1,23.5,3,1.5,0
5,7,0,13,16,4,1,12,1,0.916666667,62,0,0,0.888888889,0.666666667,2,3,10.8,1,0.6,0
4,4,0,20,38,4,1,19,3,1,192,0,0,0.978723404,0.555555556,3,11,46.25,1,0.5,0
2,3,0,18,18,1,3,15,2,2,99,0,0,0.875,0.625,1,1,48.5,6,3,0
1,4,0,2,2,0,1,1,1,2,4,0,0,1,1,0,0,3,0,0,0
2,3,0,11,8,1,1,10,2,2,26,0,0,0.875,0.666666667,1,1,12,2,1,0
2,3,0,13,9,1,2,11,2,2,59,0,0,0.875,0.625,1,1,28.5,4,2,0
2,2,0,6,9,1,1,5,2,2,37,0,0,0.928571429,0.666666667,0,0,17.5,1,0.5,0
6,5,0,18,31,3,2,16,1,0.866666667,134,0,0,0.846153846,0.733333333,3,4,20.83333333,1,0.6667,0
6,6,0,20,22,3,3,17,1,0.866666667,85,0,0,0.851851852,0.733333333,2,3,12.66666667,1,0.6667,0
2,3,0,14,9,1,2,12,2,2,34,0,0,0.875,0.625,1,1,16,2,1,0
5,7,0,19,20,4,1,18,1,0.916666667,74,0,0,0.892857143,0.666666667,2,3,13.2,1,0.6,0
2,1,0,4,6,1,0,4,0,1,21,1,0,0,1,0,0,8,0,0,0
5,5,0,17,17,4,4,13,1,0.916666667,58,0,0,0.88,0.666666667,2,3,10,1,0.6,0
5,3,2,23,36,10,2,21,5,1,235,0,0,0.636363636,0.5,2,2,45.8,1,0.8,0
4,5,0,10,13,4,1,9,1,1,43,0,0,0.916666667,0.555555556,2,2,9,1,0.5,0
2,1,0,37,39,1,0,37,0,1,191,1,0,0,1,0,0,76,0,0,0
5,4,2,11,16,10,2,9,1,1,48,0.5,0,0.931818182,0.625,1,1,8.2,1,0.6,0
2,2,0,16,16,1,1,15,2,2,54,0,0,0.8,0.666666667,0,0,26,1,0.5,0
4,4,0,25,40,4,1,24,3,1,162,0,0,0.966666667,0.555555556,3,5,38.75,1,0.5,0
5,4,0,11,11,10,4,7,1,2,25,0,0,0.878787879,0.55,2,3,4,1,0.8,0
2,6,0,7,3,0,5,2,1,0,12,1,0,0.96875,0.666666667,1,1,4.5,1,0.5,0
10,3,0,36,69,43,1,35,2,0.925925926,473,0.666666667,0,0.466666667,0.358024691,1,1,46,7,2.9,0
4,2,0,2,17,4,0,2,1,0.833333333,68,0.5,0,0.882352941,0.583333333,2,4,15.5,4,1.5,0
7,5,0,26,29,15,1,25,1,0.944444444,125,0,0,0.807692308,0.611111111,2,5,16.42857143,1,0.7143,0
2,2,0,17,19,1,1,16,2,2,76,0,0,0.8,0.666666667,0,0,37,1,0.5,0
50,2,0,6,51,1225,0,6,50,2,151,0,0,0.726256983,0.164444444,0,0,2.02,1,0.98,0
6,6,0,19,22,3,2,17,1,0.866666667,85,0,0,0.851851852,0.733333333,2,3,12.66666667,1,0.6667,0
2,3,0,19,20,1,1,18,2,2,75,0,0,0.875,0.625,2,2,36.5,4,2,0
4,4,0,38,45,4,1,37,3,1,280,0,0,0.966666667,0.555555556,4,8,68.25,1,0.5,0
4,5,0,12,15,4,3,9,3,1,58,0,0,0.960784314,0.555555556,4,8,12.75,1,0.5,0
4,4,0,28,36,4,1,27,3,1,198,0,0,0.966666667,0.555555556,3,7,47.75,1,0.5,0
2,1,0,3,5,1,0,3,0,1,16,1,0,0,1,0,0,6,0,0,0
0,1,0,3,0,0,3,0,0,2,86,0,0,0,0,0,0,0,0,0,0
4,7,0,11,13,4,2,9,1,1,43,0,0,0.923076923,0.555555556,2,2,9,1,0.5,0
2,3,0,22,30,1,2,20,2,2,134,0,0,0.875,0.6,2,2,66,1,0.5,1
2,1,0,10,12,1,0,10,0,1,86,1,0,0,1,0,0,34,0,0,0
3,3,0,10,11,3,0,10,2,1,67,0.333333333,0,0.947368421,0.666666667,0,0,20.33333333,3,1,0
2,3,0,15,21,1,0,15,2,2,87,0,0,0.875,0.625,2,2,42.5,1,0.5,0
2,2,0,2,7,1,0,2,2,2,18,0,0,0.75,0.75,0,0,8,2,1,1
5,1,0,8,16,10,0,8,5,2,104,0,0,0,0.433333333,0,0,19.8,2,1,1
2,3,0,20,10,1,5,15,2,2,46,0,0,0.875,0.625,1,1,22,2,1,0
16,4,0,37,90,100,4,33,6,1,963,0,0,0.784615385,0.172222222,3,4,58.8125,3,1.125,0
5,1,0,5,16,10,0,5,5,2,59,0,0,0,0.6,0,0,10.8,1,0.8,1
6,6,0,17,21,3,0,17,1,0.866666667,79,0,0,0.851851852,0.733333333,2,3,11.66666667,1,0.6667,0
5,6,0,16,18,4,1,15,1,0.916666667,64,0,0,0.884615385,0.666666667,2,3,11.2,1,0.6,0
5,2,0,42,85,2,0,42,3,0.854166667,736,0.166666667,1,0.85,0.583333333,0,0,143.8,16,3.6,0
2,3,0,9,6,1,1,8,2,2,20,0,0,0.875,0.625,1,1,9,1,0.5,0
4,5,0,10,13,4,1,9,1,1,43,0,0,0.916666667,0.555555556,2,2,9,1,0.5,0
3,4,0,50,74,3,0,50,2,2,752,0,0,0.894736842,0.466666667,2,3,249.6666667,12,5.6667,0
2,3,0,6,4,1,2,4,2,2,12,0,0,0.875,0.666666667,1,1,5,1,0.5,0
2,3,0,17,15,1,1,16,2,2,71,0,0,0.875,0.6,1,1,34.5,6,3,0
2,3,0,14,15,1,1,13,2,2,43,0,0,0.875,0.625,1,1,20.5,1,0.5,0
7,1,0,51,57,21,26,25,5,1,357,0.333333333,0,0,0.30952381,0,0,49.57142857,8,3.1429,0
5,5,0,7,9,0,6,1,5,0.625,42,1,0,0.962962963,0.65,1,1,7,1,0.2,0
2,3,0,19,23,1,3,16,2,2,82,0,0,0.875,0.625,1,1,40,6,3,0
5,6,0,14,17,4,1,13,1,0.916666667,60,0,0,0.884615385,0.666666667,2,3,10.4,1,0.6,0
5,5,0,16,17,4,2,14,1,0.916666667,61,0,0,0.88,0.666666667,2,3,10.6,1,0.6,0
2,2,0,9,18,1,1,8,2,2,90,0,0,0.9375,0.666666667,1,1,44,3,1.5,0
2,3,0,7,7,1,0,7,2,2,19,0,0,0.947368421,0.666666667,0,0,8.5,1,0.5,0
2,1,0,6,8,1,0,6,0,1,31,1,0,0,1,0,0,12,0,0,0
2,1,0,5,7,1,0,5,0,1,26,1,0,0,1,0,0,10,0,0,0
2,3,0,17,23,1,1,16,2,2,99,0,0,0.875,0.625,1,1,48.5,1,0.5,0
3,4,0,35,26,3,7,28,2,2,247,0,0,0.894736842,0.571428571,1,1,81.33333333,1,0.6667,0
6,6,0,22,22,3,5,17,1,0.866666667,85,0,0,0.851851852,0.733333333,2,3,12.66666667,1,0.6667,0
5,5,0,20,17,4,7,13,1,0.916666667,58,0,0,0.88,0.666666667,2,3,10,1,0.6,0
5,4,0,15,18,8,3,12,4,1,70,0,0,0.94,0.5,3,6,12.4,1,0.6,0
2,4,0,27,25,1,1,26,2,2,132,0,0,0.944444444,0.625,2,2,65,1,0.5,0
8,1,0,5,26,10,2,3,3,0.571428571,208,0.833333333,1,0,0.285714286,0,0,24.25,3,1.125,0
5,4,0,18,42,8,2,16,4,1,186,0,0,0.968421053,0.666666667,3,8,35.6,1,0.6,0
2,3,0,21,23,1,1,20,2,1,101,0,0,0.875,0.625,1,1,49,1,0.5,0
4,5,0,11,13,4,2,9,1,1,43,0,0,0.916666667,0.555555556,2,2,9,1,0.5,0
2,4,0,16,19,1,1,15,2,2,125,0,0,0.944444444,0.625,1,1,61.5,1,0.5,0
5,6,0,17,19,4,1,16,1,0.916666667,71,0,0,0.884615385,0.666666667,2,3,12.6,1,0.6,0
2,2,0,16,28,1,1,15,2,2,97,0,0,0.8,0.666666667,0,0,47.5,1,0.5,0
4,5,0,11,13,4,2,9,1,1,43,0,0,0.916666667,0.555555556,2,2,9,1,0.5,0
4,4,0,18,27,4,1,17,3,1,116,0,0,0.978723404,0.555555556,3,9,27.25,1,0.5,0
4,4,0,10,18,4,1,9,3,1,73,0,0,0.96969697,0.555555556,3,6,16.5,1,0.5,0
2,3,0,10,8,1,3,7,2,2,30,0,0,0.875,0.666666667,1,1,14,2,1,0
5,6,0,10,16,4,1,9,1,0.916666667,62,0,0,0.884615385,0.666666667,2,3,10.8,1,0.6,0
7,4,4,26,32,9,8,18,4,0.888888889,206,0,0,0.921875,0.541666667,3,5,28,1,0.7143,0
6,6,0,14,19,3,1,13,1,0.866666667,73,0,0,0.851851852,0.733333333,2,3,10.66666667,1,0.6667,0
4,5,0,13,13,4,4,9,1,1,43,0,0,0.916666667,0.555555556,2,2,9,1,0.5,0
2,3,0,13,14,1,1,12,2,2,55,0,0,0.875,0.625,1,1,26.5,4,2,0
5,4,0,29,43,8,1,28,3,1,232,0,0,0.968421053,0.4375,3,9,44.8,1,0.6,0
2,4,0,120,9,1,108,12,2,2,107,0,0,0.944444444,0.625,1,1,49.5,3,1.5,0
6,4,0,15,27,13,3,12,4,1,131,0,0,0.958333333,0.5,3,9,20.33333333,1,0.6667,0
3,5,0,8,6,3,1,7,2,2,19,0,0,0.923076923,0.555555556,1,2,5.333333333,1,0.6667,0
6,6,0,23,22,3,6,17,1,0.866666667,85,0,0,0.851851852,0.733333333,2,3,12.66666667,1,0.6667,0
2,1,0,15,17,1,0,15,0,1,76,1,0,0,1,0,0,30,0,0,0
3,3,0,20,18,3,1,19,2,2,108,0,0,0.777777778,0.444444444,1,1,35,3,1.3333,0
