@relation 'ivy-1.4-weka.filters.unsupervised.attribute.Remove-R7-10,12-20'

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute loc numeric
@attribute bug {no-bug,bug}

@data
16,1,0,7,70,118,1102,no-bug
21,4,0,15,86,138,570,no-bug
5,1,0,2,22,8,97,no-bug
5,1,0,2,6,8,20,no-bug
3,3,0,6,9,0,41,no-bug
2,6,0,9,9,1,27,no-bug
3,1,0,3,3,3,3,no-bug
13,1,0,28,13,78,13,no-bug
27,4,0,14,69,273,436,no-bug
5,5,1,4,11,10,28,no-bug
5,1,0,9,8,0,30,no-bug
2,5,2,5,5,1,12,no-bug
46,2,1,47,229,957,2754,no-bug
5,1,0,13,5,10,5,no-bug
7,1,1,5,14,13,56,no-bug
5,1,0,5,6,8,20,no-bug
26,3,19,32,87,303,691,bug
2,1,0,9,2,1,2,no-bug
2,2,2,5,5,0,24,no-bug
4,1,0,9,18,4,77,no-bug
3,1,0,15,3,3,3,no-bug
6,3,0,4,18,5,98,no-bug
2,2,0,8,3,0,14,no-bug
4,1,0,2,8,4,24,no-bug
5,1,0,12,10,4,35,no-bug
3,1,0,11,4,0,20,no-bug
2,2,0,5,16,1,60,no-bug
5,1,0,9,20,2,89,no-bug
11,1,0,2,15,17,95,no-bug
19,4,0,12,57,125,326,no-bug
7,2,0,13,94,0,1203,bug
4,1,0,2,6,0,35,no-bug
3,2,0,3,6,3,15,no-bug
6,1,0,6,13,0,55,no-bug
2,2,0,3,3,0,15,no-bug
3,1,0,11,3,3,3,no-bug
45,1,0,19,113,634,1006,no-bug
2,3,0,4,3,0,17,no-bug
7,1,0,3,8,15,51,no-bug
10,1,0,6,17,31,107,no-bug
8,1,0,26,8,28,8,no-bug
2,1,0,10,2,1,2,no-bug
3,1,0,16,65,3,877,bug
10,1,2,5,41,45,173,no-bug
16,2,0,16,32,86,187,no-bug
2,1,0,4,2,1,2,no-bug
5,6,0,8,28,2,101,no-bug
3,1,0,3,4,3,14,no-bug
43,4,0,14,103,739,642,no-bug
5,2,0,8,40,10,338,no-bug
15,1,0,6,31,89,133,no-bug
21,4,0,12,102,160,782,no-bug
14,1,1,2,19,79,97,no-bug
3,2,0,4,18,3,53,no-bug
7,1,0,7,23,15,148,no-bug
12,2,0,7,31,10,303,no-bug
2,3,0,3,5,0,15,no-bug
12,1,0,8,30,54,169,no-bug
10,1,0,14,10,45,10,no-bug
24,6,0,14,57,222,349,no-bug
13,3,0,8,32,4,134,no-bug
103,1,0,47,260,4423,3559,no-bug
